"","org_name","funding_type","transaction_amount_usd","funding_date","diversity","transaction_name","org_industry","org_location","org_revenue_range","total_raised_usd","lead_investors","num_investors","cb_rank","women_founded_led","black_founded_led","hispanic_latinx_founded_led","s_asian_founded_led","se_asian_founded_led","e_asian_founded_led","m_eastern_n_african_founded_led","indigenous_founded_led","region","vertical_finance","vertical_health","vertical_transport","vertical_tech","vertical_software","vertical_ecommerce"
"11","Yoga Vida","Seed",318750,"2015",NA,"Seed Round - Yoga Vida","Fitness, Health Care, Wellness","New York",NA,318750,NA,NA,34767,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"12","Trans World Health Services","Seed",145000,"2015",NA,"Seed Round - Trans World Health Services","Health Care, Hospital, Medical","Nevada","$1M to $10M",1745000,NA,NA,34732,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"13","Whooshh Innovations","Seed",3e+05,"2015",NA,"Seed Round - Whooshh Innovations","Environmental Engineering, Life Science, Marine Technology","Washington",NA,3e+05,NA,NA,34733,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"14","FundBoard","Seed",625000,"2015",NA,"Seed Round - FundBoard","Financial Services, FinTech, Funding Platform, Information Services","Colorado",NA,625000,NA,NA,34913,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"15","Unbooked Appointments","Seed",724881,"2015",NA,"Seed Round - Unbooked Appointments","Beauty, E-Commerce, Health Care, Home Services, Information Technology, Internet, Marketplace","California","Less than $1M",724881,NA,NA,34929,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"16","Nassau Reinsurance Group","Seed",180625,"2015",NA,"Seed Round - Nassau Reinsurance Group","Asset Management, Insurance","New York","$50M to $100M",200180625,NA,NA,35179,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"17","Seventh Sense","Seed",206000,"2015",NA,"Seed Round - Seventh Sense","Advertising, Email, Email Marketing, Marketing, Sales, Software","Virginia","Less than $1M",281000,NA,NA,35386,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"18","RepScrubs","Seed",3e+05,"2015",NA,"Seed Round - RepScrubs","Hospital, Medical, Wellness","Florida","$10M to $50M",2700000,NA,NA,35440,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"19","MINISTRY PARTNERS INVESTMENT COMPANY","Seed",717000,"2015",NA,"Seed Round - MINISTRY PARTNERS INVESTMENT COMPANY","Financial Exchanges, Financial Services, Non Profit","California",NA,717000,NA,NA,35349,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20","Rigquipment Finance","Seed",550000,"2015",NA,"Seed Round - Rigquipment Finance","Finance, Financial Services, Fitness","Virginia",NA,550000,NA,NA,35706,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"21","Nemus Bioscience","Seed",724989,"2015",NA,"Seed Round - Nemus Bioscience","Biopharma, Biotechnology, Cannabis, Medical","California",NA,724989,NA,NA,35892,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"22","Oricula Therapeutics","Seed",45000,"2015",NA,"Seed Round - Oricula Therapeutics","Biotechnology, Health Care, Therapeutics","Kansas","Less than $1M",2045000,NA,NA,35863,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"23","Interface Foundry PBC","Seed",232000,"2015",NA,"Seed Round - Interface Foundry PBC","Information Technology, Internet of Things, Software","New York",NA,232000,NA,NA,35752,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"24","Investment Centers of America","Seed",684364,"2015",NA,"Seed Round - Investment Centers of America","Finance, Financial Services, Insurance","North Dakota","Less than $1M",684364,NA,NA,35827,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"25","MedPanel","Seed",155000,"2015",NA,"Seed Round - MedPanel","Biotechnology, Consulting, Financial Services, Health Care","Massachusetts","$1M to $10M",155000,NA,NA,35792,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"26","Orthogonal Diagnostic","Seed",195000,"2015",NA,"Seed Round - Orthogonal Diagnostic","Biotechnology, Health Care, Life Science, Medical","California",NA,195000,NA,NA,35793,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"27","Kaiyo","Seed",50000,"2015",NA,"Seed Round - Kaiyo","E-Commerce, Furniture, Marketplace, Online Portals","New York","Less than $1M",2050000,NA,NA,35955,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"28","Direct Eats","Seed",1e+05,"2015",NA,"Seed Round - Direct Eats","E-Commerce, Food and Beverage, Online Portals","Connecticut","$1M to $10M",1e+05,NA,NA,36056,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"29","The Market on Market","Seed",5e+05,"2015",NA,"Seed Round - The Market on Market","Consumer Goods, Food and Beverage, Retail","California",NA,5e+05,NA,NA,36039,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"30","Citadel Plastics","Seed",392000,"2015",NA,"Seed Round - Citadel Plastics","Industrial, Manufacturing, Plastics and Rubber Manufacturing","Illinois",NA,392000,NA,NA,36015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"31","Emergency Medicine Scribe Systems","Seed",552462,"2015",NA,"Seed Round - Emergency Medicine Scribe Systems","Health Care, Recruiting, Staffing Agency","California",NA,552462,NA,NA,36189,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"32","ebbu","Seed",267743,"2015",NA,"Seed Round - ebbu","Cannabis, Food and Beverage, Medical","Colorado",NA,267743,NA,NA,36568,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"33","Duncan Recycling & Refining","Seed",975000,"2015",NA,"Seed Round - Duncan Recycling & Refining","Automotive, Industrial","Oklahoma","$1M to $10M",975000,NA,NA,36449,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"34","EE Systems","Seed",4e+05,"2015",NA,"Seed Round - EE Systems","Industrial, Oil and Gas","Texas","Less than $1M",4e+05,NA,NA,36443,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"35","Dry Fire Pro","Seed",122000,"2015",NA,"Seed Round - Dry Fire Pro","Manufacturing, Sporting Goods, Sports","Arizona","Less than $1M",122000,NA,NA,36514,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"36","Applied Cavitation","Seed",56000,"2015",NA,"Seed Round - Applied Cavitation","Chemical, Manufacturing, Nanotechnology","California","$1M to $10M",2099800,NA,NA,36516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"37","Reply Pro","Seed",125000,"2015",NA,"Seed Round - Reply Pro","Advertising, E-Commerce, Local, Marketing, Marketing Automation, Search Engine, Software","Idaho","Less than $1M",125000,NA,1,36881,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"38","Brewla","Seed",165000,"2015","Women Founded","Seed Round - Brewla","Food and Beverage, Manufacturing, Retail","New York",NA,165000,NA,NA,36888,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"39","SanTásti","Seed",128346,"2015","Women Founded","Seed Round - SanTásti","Food and Beverage, Manufacturing, Marketing","California","$1M to $10M",466035,NA,NA,44635,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"40","PellePharm","Seed",118625,"2015",NA,"Seed Round - PellePharm","Biotechnology, Medical Device, Therapeutics","California","Less than $1M",38894823,NA,NA,44727,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"41","Cobb Strecker Dunphy & Zimmermann Inc.","Seed",386650,"2015",NA,"Seed Round - Cobb Strecker Dunphy & Zimmermann Inc.","Commercial, Insurance","Minnesota","Less than $1M",386650,NA,NA,45666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"42","RGL Partners","Seed",12934,"2015",NA,"Seed Round - RGL Partners","Finance, Financial Services, Insurance","Pennsylvania","Less than $1M",12934,NA,NA,46706,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"43","Pareto Captive Services","Seed",522140,"2015",NA,"Seed Round - Pareto Captive Services","Insurance","Pennsylvania","$50M to $100M",522140,NA,NA,47117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"44","NouvEau","Seed",12000,"2015",NA,"Seed Round - NouvEau","Health Care, Medical, Product Research","Indiana",NA,12000,NA,NA,47094,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"45","Sense360","Seed",2750000,"2015",NA,"Seed Round - Sense360","Artificial Intelligence, Internet, Location Based Services, Mobile, Mobile Apps, Mobile Devices, Personalization","California","Less than $1M",13250002,"FirstMark",9,51397,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"46","Scout RFP","Seed",2750000,"2015",NA,"Seed Round - Scout RFP","Enterprise Software, Procurement, SaaS, Software","California","$1M to $10M",60250000,"New Enterprise Associates",5,51902,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"47","Percolata","Seed",5e+06,"2015",NA,"Seed Round - Percolata","Hardware, Retail, Retail Technology, Software","California","Less than $1M",14686160,NA,8,52476,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"48","Treace Medical Concepts","Seed",7e+06,"2015",NA,"Seed Round - Treace Medical Concepts","Health Care, Medical, Medical Device","Florida","$1M to $10M",12900000,NA,NA,59926,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"49","Everly","Seed",185000,"2015",NA,"Seed Round - Everly","Food and Beverage, Food Processing, Health Care, Manufacturing, Personal Health","Tennessee","Less than $1M",1252000,NA,4,60810,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"50","Scoot","Seed",1479000,"2015",NA,"Seed Round - Scoot","Automotive, Electric Vehicle, Fleet Management, Last Mile Transportation, Logistics, Public Transportation, Transportation","California","$1M to $10M",38313658,NA,NA,61632,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"51","Balcony Labs","Seed",2500000,"2015",NA,"Seed Round - Balcony Labs","Collaboration, Enterprise Applications, GovTech","California","$1M to $10M",2500000,NA,NA,61883,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"52","Constellation Digital Partners","Seed",2e+06,"2015",NA,"Seed Round - Constellation Digital Partners","Cloud Data Services, Financial Services, FinTech, Information Technology","North Carolina","$1M to $10M",52500000,NA,5,64034,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"53","Chicory","Seed",1200000,"2015",NA,"Seed Round - Chicory","Advertising, Artificial Intelligence, Big Data, Delivery","New York","Less than $1M",2540000,NA,5,65628,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"54","NDS Cognitive Labs","Seed",350000,"2015",NA,"Seed Round - NDS Cognitive Labs","Digital Marketing, Information Technology, Mobile Apps, Retail","California",NA,1272000,NA,NA,67792,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"55","Alpine Immune Sciences","Seed",1300000,"2015",NA,"Seed Round - Alpine Immune Sciences","Biotechnology, Health Care, Medical","Washington","$1M to $10M",49300000,NA,NA,68358,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"56","AltusLearn","Seed",185000,"2015",NA,"Seed Round - AltusLearn","E-Learning, Health Care, Information Technology, Medical","Wisconsin","$1M to $10M",1658464,NA,NA,69293,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"57","Cityzenith","Seed",7e+06,"2015",NA,"Seed Round - Cityzenith","3D Technology, Commercial Real Estate, GovTech, Information Services, Information Technology, Internet of Things, Smart Cities, Software","Illinois","$1M to $10M",7e+06,NA,1,69388,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"58","Backand","Seed",1e+06,"2015",NA,"Seed Round - Backand","Enterprise Software, Mobile, Web Development","California","$1M to $10M",2710000,NA,3,70618,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"59","Workpath","Seed",3e+06,"2015",NA,"Seed Round - Workpath","Health Care, Health Diagnostics, Home Health Care, Hospital, Mobile Apps, Scheduling, Sharing Economy, Software","Virginia","$1M to $10M",19083992,NA,NA,72439,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"60","Process Street","Pre-Seed",58000,"2015",NA,"Pre Seed Round - Process Street","Information Technology, Productivity Tools, Project Management, SaaS, Software","California","$1M to $10M",15158000,"AngelPad, Vinay Patankar",2,75682,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"61","Xycrobe Therapeutics","Seed",4e+05,"2015",NA,"Seed Round - Xycrobe Therapeutics","Biotechnology, Health Care, Therapeutics, Wellness","California",NA,4e+05,NA,NA,76507,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"62","Dyve Biosciences","Seed",2e+06,"2015",NA,"Seed Round - Dyve Biosciences","Biopharma, Biotechnology","California","$1M to $10M",9760000,NA,NA,80816,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"63","Stabilitas","Seed",2204569,"2015",NA,"Seed Round - Stabilitas","Location Based Services, Mobile, Security, Travel","Washington","Less than $1M",4654569,NA,5,80837,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"64","CloudCover","Seed",325000,"2015",NA,"Seed Round - CloudCover","Artificial Intelligence, Blockchain, Cyber Security, Machine Learning","Minnesota","Less than $1M",2125000,NA,NA,83579,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"65","Heads Up","Pre-Seed",1200000,"2015",NA,"Pre Seed Round - Heads Up","Analytics, Electronic Health Record (EHR), Health Care, Personal Health, Wellness","Arizona","Less than $1M",3100000,NA,NA,83778,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"66","Nurulize Inc.","Seed",2e+06,"2015",NA,"Seed Round - Nurulize Inc.","Software, Virtual Reality","California",NA,2e+06,"Chaos Group",1,87646,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"67","CogniTea","Seed",6e+05,"2015",NA,"Seed Round - CogniTea","Clean Energy, Coffee, Hospitality, Tea","Massachusetts","Less than $1M",6e+05,NA,NA,88091,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"68","AppleTree Funding","Seed",50000,"2015","Women Founded","Seed Round - AppleTree Funding","Finance, Financial Services, Insurance","Florida","$1M to $10M",2e+05,NA,NA,88148,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"South",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"69","HireCanvas","Seed",58000,"2015",NA,"Seed Round - HireCanvas","College Recruiting, Enterprise Software, Recruiting","New York",NA,58000,NA,1,88576,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"70","Synapbox","Seed",1e+05,"2015","Hispanic / Latinx Founded, Hispanic / Latinx Led, Women Founded, Women Led","Seed Round - Synapbox","Advertising, Analytics, Artificial Intelligence, Big Data, Human Computer Interaction, Machine Learning, Usability Testing","California","Less than $1M",630000,"Wayra",1,89400,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"71","Beaconstream","Seed",5e+05,"2015",NA,"Seed Round - Beaconstream","Advertising, Advertising Platforms, Marketing, Mobile","Arizona","Less than $1M",5e+05,NA,NA,89806,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"72","BBB","Seed",1e+05,"2015",NA,"Seed Round - BBB","Android, Health Diagnostics, Mobile","California","$1M to $10M",5100000,NA,2,91987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"73","Endurance","Seed",2e+05,"2015",NA,"Seed Round - Endurance","3D Printing, 3D Technology, Android, Artificial Intelligence, Drones, Mobile, Open Source, Robotics, Telecommunications","Florida","$1M to $10M",220000,NA,NA,92690,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"74","Stealth Therapeutics","Seed",57500,"2015",NA,"Seed Round - Stealth Therapeutics","Biotechnology, Health Care, Local Business, Medical Device","Wisconsin","Less than $1M",1126916,NA,NA,94056,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"75","Cerkl","Seed",20000,"2015",NA,"Seed Round - Cerkl","Artificial Intelligence, Big Data, Email Marketing, Machine Learning, Marketing Automation, Personalization, Predictive Analytics","Ohio","Less than $1M",4870000,NA,1,94995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"76","Mammoth","Seed",62000,"2015",NA,"Seed Round - Mammoth","Collaboration, Enterprise Software, File Sharing, Internet, Messaging, SaaS","California","$1M to $10M",62000,NA,1,96792,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"77","SportConnect","Seed",3e+05,"2015",NA,"Seed Round - SportConnect","Fitness, Sports","California","Less than $1M",3e+05,NA,NA,96842,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"78","New Wind","Seed",1251517,"2015",NA,"Seed Round - New Wind","Clean Energy, Energy, Manufacturing, Renewable Energy, Wind Energy","Tennessee","$1M to $10M",2251517,NA,NA,97007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"79","AppAnalytics","Pre-Seed",3e+05,"2015",NA,"Pre Seed Round - AppAnalytics","Analytics, Apps, Mobile, Real Time, SaaS","California","$1M to $10M",3e+05,"Turk Telekom PILOT",1,98927,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"80","Graphistry","Seed",1500000,"2015",NA,"Seed Round - Graphistry","Analytics, Cloud Data Services, Cyber Security, Data Center Automation, Data Visualization, GPU, IT Management, Security","California","Less than $1M",1500000,NA,5,100065,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"81","Buddytruk","Seed",620000,"2015",NA,"Seed Round - Buddytruk","Developer Tools, Local, Mobile, Software","California","$1M to $10M",1281000,NA,NA,100237,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"82","Surprise My Pet Inc","Seed",10000,"2015",NA,"Seed Round - Surprise My Pet Inc","mHealth, Pet, Service Industry","Illinois",NA,40000,NA,1,100852,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"83","Exit Mist","Seed",40000,"2015",NA,"Seed Round - Exit Mist","Internet, Software","Delaware","Less than $1M",40000,NA,NA,101074,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
