Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Tikun Olam Holdings,Seed,Seed,"$15,000,000","Nov 2, 2018",Tikun Olam Holdings,A leading cannabis brand and globally recognized as the pioneer of modern medical cannabis.,"Biotechnology, Cannabis, Medical, Therapeutics",—,"Wilmington, Delaware, United States, North America",tikunolamusa.com/,,"$25,000,000",Seed,2,—,—
Seed Round - HaulHub,Seed,Seed,"$5,000,000","Nov 1, 2018",HaulHub,HaulHub develops a platform for heavy construction companies that powers transportation and digital ticketing for producers and contractors.,"Construction, Software, Trading Platform",—,"Haverhill, Massachusetts, United States, North America",haulhub.com,,"$35,000,000",Early Stage Venture,3,Lead Edge Capital,1
Seed Round - Safari AI,Seed,Seed,"$8,000,000","Nov 2, 2018",Safari AI,Safari AI (fka curbFlow) provides its clients the ability to auto-measure the most important physical activity in their operations.,"Artificial Intelligence, Computer Vision, Information Technology, Infrastructure, Internet, SaaS, Software",—,"New York, New York, United States, North America",getsafari.ai/,,"$8,000,000",Seed,1,"General Catalyst, Initialized Capital",15
Seed Round - Spatial,Seed,Seed,"$8,300,000","Oct 24, 2018",Spatial,"Spatial is a gaming platform where millions of creators build and share fun experiences that bring people together across web, mobile, & VR.","3D Technology, Augmented Reality, Software, Virtual Reality",—,"New York, New York, United States, North America",spatial.io/,,"$47,300,000",Early Stage Venture,5,Inovia Capital,19
Seed Round - Brightseed,Seed,Seed,"$6,000,000","Sep 17, 2018",Brightseed,Brightseed is a pioneer in biosciences and artificial intelligence that illuminates nature to restore human health.,"Artificial Intelligence, Biotechnology, Food and Beverage, Pharmaceutical, Wellness","Hispanic / Latine Founded, Women Founded","San Francisco, California, United States, North America",brightseedbio.com/,,"$119,200,000",Early Stage Venture,6,—,2
Seed Round - Atom Computing,Seed,Seed,"$5,000,000","Sep 25, 2018",Atom Computing,Atom Computing builds truly scalable quantum computers out of individual atoms.,"Computer, Information Technology, Product Research",—,"Berkeley, California, United States, North America",www.atom-computing.com,,"$80,975,000",Late Stage Venture,7,—,8
Seed Round - Aspinity,Seed,Seed,"$2,900,000","Oct 9, 2018",Aspinity,Aspinity offers neuromorphic all-analog integrated circuit technology that can replicate the functionality of digital signal processors.,"Battery, Energy Storage, Industrial, Semiconductor",—,"Pittsburgh, Pennsylvania, United States, North America",www.aspinity.com/,,"$22,753,384",—,9,Birchmere Ventures,3
Seed Round - SweetBio,Seed,Seed,"$930,000","Oct 26, 2018",SweetBio,SweetBio is a medical device company that develops regenerative products using honey.,"Advanced Materials, Biotechnology, Health Care, Medical Device","Black / African American Founded, Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led","Memphis, Tennessee, United States, North America",sweetbio.com/,,"$4,553,500",—,8,Innova Memphis,2
Seed Round - Workiz,Seed,Seed,"$2,250,000","Oct 22, 2018",Workiz,"Workiz is the leading platform for field service teams, trusted by over 110,000 pros.","CRM, Enterprise Software, Recruiting, SaaS, Small and Medium Businesses",—,"San Diego, California, United States, North America",workiz.com,,"$60,250,000",Late Stage Venture,6,Aleph,1
Pre Seed Round - TrueAlgae,Pre-Seed,Seed,"$216,000","Sep 30, 2018",TrueAlgae,TrueAlgae is a biotechnology company.,"AgTech, Biotechnology",—,"Chantilly, Virginia, United States, North America",truealgae.com/,,"$6,417,472",Seed,7,—,—
Pre Seed Round - Krunch,Pre-Seed,Seed,"HK$500,000","Oct 1, 2018",Krunch,Krunch helps developers drive more engagements to their Github repo.,Developer Tools,—,"San Francisco, California, United States, North America",krunchdata.io,,"$338,867",Seed,2,Cyberport Hong Kong,1
Seed Round - BeAlive,Seed,Seed,"$3,500,000","Oct 4, 2018",BeAlive,"BeAlive is a new digital video entertainment and media company made for outdoor enthusiasts, adventure-seekers, and sports fanatics.","Advertising, Fashion, Media and Entertainment, Outdoors, Social Media, Video",Women Founded,"Midland, Michigan, United States, North America",gobealive.com/,,"$3,500,000",Seed,1,Kittycat Capital,1
Seed Round - Kula Bio,Seed,Seed,"$1,300,000","Oct 5, 2018",Kula Bio,Kula Bio is a company that provides sustainable biological solutions for modern agriculture.,"Agriculture, Biotechnology, Farming, Food and Beverage",—,"Somerville, Massachusetts, United States, North America",www.kulabio.com/,,"$72,128,761",Early Stage Venture,7,Pillar VC,2
Seed Round - Amira Learning,Seed,Seed,"$3,000,000","Sep 20, 2018",Amira Learning,"Amira Learning offers an intelligent reading assistant that listens, assesses, and tutors.","Artificial Intelligence, Education, Machine Learning",—,"Las Vegas, Nevada, United States, North America",www.amiralearning.com/,,"$40,341,114",—,5,Vertical Venture Partners,1
Seed Round - Pure Ratios,Seed,Seed,"$514,000","Oct 19, 2018",Pure Ratios,Pure Ratios consists of complementary lines of medical cannabis products.,Alternative Medicine,—,"San Diego, California, United States, North America",www.pureratios.biz,,"$514,000",Seed,1,—,—
Seed Round - Papaya Global,Seed,Seed,"$3,000,000","Oct 3, 2018",Papaya Global,Papaya Global provides a cloud-based payroll and payments platform for global workforce management.,"Data Integration, Employment, FinTech, Human Resources, Recruiting, SaaS","Women Founded, Women Led","New York, New York, United States, North America",papayaglobal.com,,"$444,500,000",Late Stage Venture,8,New Era Ventures,2
Seed Round - Atomic Capital,Seed,Seed,"$200,000","Sep 28, 2018",Atomic Capital,"Atomic Capital provides digital security issuance software, fundraising services, and direct allocations for investments.","Banking, Blockchain, Financial Exchanges, FinTech",—,"New York, New York, United States, North America",atomiccapital.io,,"$200,000",Seed,1,—,—
Pre Seed Round - StreamSearch.LIVE,Pre-Seed,Seed,"$75,000","Oct 12, 2018",StreamSearch.LIVE,“StreamSearch LIVE connects consumers to all the best LIVE content on any network from any device”,"Audio, Internet, Media and Entertainment, Telecommunications, Video, Video Streaming",—,"Tampa, Florida, United States, North America",www.streamsearch.LIVE,,"$20,075,000",Seed,3,—,—
Seed Round - Health Here,Seed,Seed,"$1,250,000","Oct 15, 2018",Health Here,Health Here enables frictionless healthcare for patients and providers.,"Health Care, Mobile Payments, Payments",—,"Nashville, Tennessee, United States, North America",www.healthhere.com,,"$2,625,000",—,3,—,—
Pre Seed Round - nQ Medical,Pre-Seed,Seed,"$250,000","Nov 1, 2018",nQ Medical,nQ Medical is a neurotechnology company allowing Data Defined Disease Management via digital biomarkers using AI.,"Biotechnology, Life Science, Pharmaceutical, Therapeutics",—,"Cambridge, Massachusetts, United States, North America",www.nq-medical.com/,,"$4,450,000",Seed,5,—,—
Seed Round - Silbo,Seed,Seed,"$1,300,000","Oct 3, 2018",Silbo,Silbo is a digital marketplace connecting game sources to sports officials.,"Information Technology, Mobile Apps, SaaS, Software",—,"Raleigh, North Carolina, United States, North America",gosilbo.com,,"$2,400,395",Seed,3,—,—
Seed Round - Zylotech,Seed,Seed,"$5,500,000","Oct 30, 2018",Zylotech,Zylotech is a B2B customer data platform that delivers trusted data governance for both people and companies.,"Analytics, Artificial Intelligence, Big Data, SaaS, Software",Women Founded,"Cambridge, Massachusetts, United States, North America",zylotech.com,,"$7,100,000",M&A,2,Glasswing Ventures,4
Seed Round - Canaria Therapeutics,Seed,Seed,"$21,780","Oct 10, 2018",Canaria Therapeutics,Canaria Therapeutics offers product research and development in the field of medical cannabis and cannabinoid treatments.,"Biotechnology, Health Care, Life Science, Medical",—,"Huntsville, Alabama, United States, North America",,,"$21,780",Seed,1,—,—
Pre Seed Round - Toggle,Pre-Seed,Seed,"$570,000","Nov 10, 2018",Toggle,Toggle is a construction company.,"Building Material, Construction, Industrial Automation, Infrastructure, Robotics, Service Industry",—,"Bohemia, New York, United States, North America",toggle.is,,"$14,770,000",Early Stage Venture,4,Third Sphere,4
Seed Round - Spoiler Alert,Seed,Seed,"$2,500,000","Oct 22, 2018",Spoiler Alert,Spoiler Alert is a Boston-based software company helping perishable CPG brands manage excess and slow-moving inventory,"B2B, E-Commerce Platforms, Enterprise Software, Food and Beverage, Recycling, SaaS, Software, Supply Chain Management, Sustainability, Waste Management",Women Founded,"Boston, Massachusetts, United States, North America",www.spoileralert.com/,,"$16,168,000",Early Stage Venture,6,Maersk Growth,3
Seed Round - Sensee Inc,Seed,Seed,"$750,000","Oct 15, 2018",Sensee Inc,The Sensor Data Analytics Platform for Turnkey IoT Business Solutions,"Analytics, Artificial Intelligence, Big Data, IaaS, Internet of Things, Mobile Apps, PaaS, SaaS, Small and Medium Businesses","Women Founded, Women Led","New York, New York, United States, North America",www.sensee.io,,"$1,374,958",Seed,5,—,—
Pre Seed Round - Clicke,Pre-Seed,Seed,"$50,000","Oct 18, 2018",Clicke,Clicke is the demand photography service to connect you with local photographers.,"E-Commerce, Film, Photo Editing, Photography, Video Editing",Women Founded,"New York, New York, United States, North America",www.clicke.co/,,"$50,000",Seed,1,InNEVenture Fund,1
Seed Round - Kunduz,Seed,Seed,"$1,500,000","Sep 15, 2018",Kunduz,Fast and affordable study help by real tutors,"EdTech, Education, Mobile Apps",—,"San Francisco, California, United States, North America",kunduz.com/,,"$4,600,000",Seed,4,—,2
Pre Seed Round - CheckSammy,Pre-Seed,Seed,"$350,000","Nov 1, 2018",CheckSammy,CheckSammy is the next generation sustainability & bulk junk service solution for the global waste industry.,"Analytics, Apps, Blockchain, Delivery, Fleet Management, Mobile Apps, Recycling, Software, Sustainability, Waste Management",—,"Dallas, Texas, United States, North America",www.checksammy.com,,"$20,750,000",—,9,—,—
Seed Round - Papa Inc.,Seed,Seed,"$2,400,000","Oct 4, 2018",Papa Inc.,Papa is a platform that connects college students to senior citizens for companionship and assistance.,"Elder Care, Elderly, Nursing and Residential Care",Hispanic / Latine Founded,"Miami, Florida, United States, North America",www.joinpapa.com,,"$241,205,000",Late Stage Venture,6,Initialized Capital,2
Seed Round - East Valley Surgical Services,Seed,Seed,"$153,000","Sep 26, 2018",East Valley Surgical Services,East Valley Surgical Services is stealth healthcare company.,Health Care,—,"Tucson, Arizona, United States, North America",,,"$253,000",Seed,2,—,—
Seed Round - Selfie Mirror,Seed,Seed,"$150,000","Nov 1, 2018",Selfie Mirror,SELFIE MIRROR is a unique start screen giving fast access other applications related to business need.,"Homeland Security, Mobile, Smart Building, Software",—,"San Francisco, California, United States, North America",selfiemirrorsme.com,,"$350,000",Seed,3,—,1
Seed Round - ProbiusDx,Seed,Seed,"$2,700,000","Oct 26, 2018",ProbiusDx,ProbiusDx is an electronic sensing company that provides a diagnostic technology for detecting and monitoring blood concentrations.,"Health Care, Health Diagnostics",—,"El Cerrito, California, United States, North America",www.probiusdx.com/,,"$12,900,000",Early Stage Venture,6,—,4
Seed Round - CoreLeap,Seed,Seed,"$1,100,000","Oct 10, 2018",CoreLeap,CoreLeap streamlines ecommerce returns.,E-Commerce,—,"Omaha, Nebraska, United States, North America",,,"$16,599,551",—,4,—,1
Seed Round - OXOS Medical,Seed,Seed,"$2,395,933","Oct 10, 2018",OXOS Medical,OXOS Medical develops digital imaging device for efficient and effective treatment of patients.,"Health Care, Health Diagnostics, Medical, Medical Device",—,"Atlanta, Georgia, United States, North America",www.oxos.com,,"$41,690,224",Early Stage Venture,9,—,—
Seed Round - Singularity 6,Seed,Seed,"$2,500,000","Sep 13, 2018",Singularity 6,"Singularity 6 is a game development studio dedicated to the idea that games can create deeper, more meaningful experiences.","Gaming, Online Games, Video Games",—,"Los Angeles, California, United States, North America",www.singularity6.com,,"$49,000,000",Early Stage Venture,3,LVP,1
Seed Round - Vita Inclinata Technologies,Seed,Seed,"$1,200,000","Sep 30, 2018",Vita Inclinata Technologies,Vita is an aerospace company that builds autonomous systems for helicopter hoisting and sling load missions.,"Aerospace, Construction, Military, Oil and Gas",—,"Denver, Colorado, United States, North America",www.vitatech.co,,"$27,330,000",Early Stage Venture,6,Keiretsu Forum Northwest,1
Seed Round - The Living Apothecary,Seed,Seed,"$1,400,000","Oct 24, 2018",The Living Apothecary,Living Apothecary is an operator of a healthy beverage company intended to bring health and nourishment to the local community .,"Brewing, Food and Beverage, Health Care","Women Founded, Women Led","Richmond, Virginia, United States, North America",www.livingapothecary.com,,"$1,400,000",Seed,1,"L.A. Libations, Venice Brands",3
Seed Round - Xooa Inc | Blockchain & NFT Marketplaces,Seed,Seed,"$1,700,000","Oct 8, 2018",Xooa Inc | Blockchain & NFT Marketplaces,Xooa empowers users of all expertise levels to build blockchain apps like NFT marketplaces in record time,"Blockchain, Cloud Data Services, Media and Entertainment, PaaS, Sports",—,"Denver, Colorado, United States, North America",xooa.com/,,"$1,700,000",Seed,1,Garini Ventures,1
Seed Round - RLL,Seed,Seed,"$68,421","Sep 28, 2018",RLL,RLL LLC is a biotechmology company that researches and manufactures high quality phytochemicals and extracts worldwide.,"Biotechnology, Chemical, Manufacturing",—,"Lutherville Timonium, Maryland, United States, North America",,,"$9,620,739",—,3,—,—
Seed Round - Solicient,Seed,Seed,"$100,000","Sep 24, 2018",Solicient,Solicient is a multinational commerce technology solutions provider specializing in nationwide and BlockChain based platforms.,"E-Commerce, Service Industry, Software",—,"Austin, Texas, United States, North America",www.solicient.com/,,"$100,000",Seed,1,—,—
