Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Pre Seed Round - Mappy,Pre-Seed,Seed,"$1,175,000","Feb 28, 2022",Mappy,Mappy develops geospatial applications and data analytics platforms for venues.,"Analytics, Big Data, Data Visualization, Geospatial, Mobile Apps",—,"Honolulu, Hawaii, United States, North America",www.beMappy.io,,"$1,175,000",Seed,1,Scout Ventures,5
Seed Round - Naya,Seed,Seed,"$5,745,000","Mar 1, 2022",Naya,A platform for co-creating product design,Product Design,—,"Allston, Massachusetts, United States, North America",naya.studio/,,"$5,745,000",Seed,2,DataPower Ventures,2
Pre Seed Round - Archimedes,Pre-Seed,Seed,"$2,400,000","Mar 16, 2022",Archimedes,Archimedes is a lending and borrowing platform. Lenders earn top of market APY and borrowers earn up to 10x on yield-bearing stablecoins.,"Blockchain, FinTech, Information Technology, Software",—,"Miami, Florida, United States, North America",archimedesfi.com/,,"$7,300,000",Seed,2,Shima Capital,8
Pre Seed Round - Bloom,Pre-Seed,Seed,"$800,000","Feb 15, 2022",Bloom,Bloom is a mobile banking app that offers innovative financial services and products.,"Financial Services, FinTech",—,"Newark, Delaware, United States, North America",withbloom.com/,,"$7,300,000",Seed,3,—,3
Seed Round - buildspace,Seed,Seed,"$10,000,000","Mar 15, 2022",buildspace,crypto engineering community,—,—,"New York, New York, United States, North America",buildspace.so/,,"$10,000,000",Seed,3,Andreessen Horowitz,12
Seed Round - mesha,Seed,Seed,"$1,000,000","Mar 3, 2022",mesha,All-in-one financial software for global businesses,"Accounting, Blockchain, Cryptocurrency, FinTech",—,"San Francisco, California, United States, North America",www.mesha.club,,"$1,000,000",Seed,1,—,3
Seed Round - Heroic Story,Seed,Seed,"$6,000,000","Feb 25, 2022",Heroic Story,"Infinite, community crafted, AI RPGs.",Gaming,—,"Los Angeles, California, United States, North America",www.heroicstory.com/,,"$7,400,000",Seed,2,Upfront Ventures,11
Seed Round - Ennabl,Seed,Seed,"$4,000,000","Feb 17, 2022",Ennabl,Ennabl is a platform that connects and assembles existing systems and integrates with external data sources.,"Database, InsurTech, Software",—,"Greenwich, Connecticut, United States, North America",www.ennabl.com,,"$12,000,000",Early Stage Venture,2,Vine Ventures,1
Pre Seed Round - Meander,Pre-Seed,Seed,"$230,000","Mar 1, 2022",Meander,Meander is a real-time survey and market research platform for travel companies.,"Consumer Research, Consumer Reviews, Mobile Apps, Travel",—,"Houston, Texas, United States, North America",www.meander.travel,,"$230,000",Seed,2,Softeq Development,2
Seed Round - Hyperspace,Seed,Seed,"$4,500,000","Feb 15, 2022",Hyperspace,Hyperspace is a trading platform that offers Solana NFT and NFT flex information and services.,"Blockchain, Cryptocurrency, Finance, FinTech, Trading Platform",—,"New York, New York, United States, North America",hyperspace.xyz,,"$4,500,000",Seed,1,"Dragonfly, Pantera Capital",13
Seed Round - Ad-Shield,Seed,Seed,"₩1,000,000,000","Feb 24, 2022",Ad-Shield,Ad-Shield helps publishers recover adblocked revenue with the world’s most advanced adblock recovery technology.,"Advertising, Information Services, Information Technology, Software",—,"New York, New York, United States, North America",www.ad-shield.io/,,"₩1,700,000,000",Seed,2,—,2
Pre Seed Round - LAGO,Pre-Seed,Seed,"$4,200,000","Mar 17, 2022",LAGO,"LAGO helps to bridge the traditional and digital art world with interactive, gesture control, curation, voice control and providence.","Art, Digital Media",—,"New York, New York, United States, North America",www.lagoframe.com/,,"$4,200,000",Seed,1,—,13
Pre Seed Round - truQ,Pre-Seed,Seed,"$245,000","Feb 1, 2022",truQ,truQ connects businesses and individuals with logistics needs across Africa to the closest vehicle in real time.,Logistics,—,"Delaware, Ohio, United States, North America",mytruq.com,,"$565,000",Seed,4,—,3
Pre Seed Round - Affine,Pre-Seed,Seed,"$1,800,000","Feb 16, 2022",Affine,Affine is a Web3 protocol and dApp that helps users automate their savings and grow their crypto holdings by getting rid of high fees.,"Cryptocurrency, Internet, Software",—,"Miami, Florida, United States, North America",affinedefi.com/,,"$6,900,000",Seed,2,—,11
Pre Seed Round - WorknMates,Pre-Seed,Seed,"$914,000","Feb 28, 2022",WorknMates,WorknMates is an online portal for renting out available office spaces.,"Coworking, E-Commerce, Online Portals, Small and Medium Businesses",—,"Miami, Florida, United States, North America",worknmates.com,,"$1,828,000",Seed,2,—,3
Seed Round - Cheelee,Seed,Seed,"$5,000,000","Mar 5, 2022",Cheelee,Cheelee is the first short video platform with GameFi mechanics that rewards users just for watching the feed.,"Blockchain, Media and Entertainment, Social Media, Video Streaming",—,"Wilmington, Delaware, United States, North America",cheelee.io,,"$32,750,000",—,5,—,2
Pre Seed Round - Chargel,Pre-Seed,Seed,"$750,000","Mar 18, 2022",Chargel,Chargel is a freight brokerage platform that connects hippers and carriers with avalable trucks.,Logistics,—,"Wilmington, Delaware, United States, North America",www.chargel.me,,"$3,400,000",Seed,5,—,6
Seed Round - YYTZ Agro-Processing,Seed,Seed,"$1,300,000","Mar 16, 2022",YYTZ Agro-Processing,YYTZ Agro-Processing specializes in sourcing and processing cashew nuts.,"Food Delivery, Food Processing, Organic Food",—,"Newark, Delaware, United States, North America",www.yytzagro.com,,"$2,150,000",Seed,3,—,4
Seed Round - Bracket,Seed,Seed,"$1,000,000","Mar 1, 2022",Bracket,"Two-way syncs between databases and business tools, like G Sheets, Airtable, and Notion.","Data Visualization, Software",—,"New York, New York, United States, North America",www.usebracket.com/,,"$1,000,000",Seed,1,—,5
Seed Round - PlusMusic.ai,Seed,Seed,"$2,450,000","Feb 18, 2022",PlusMusic.ai,Adaptive Audio AI powering the future of music consumption in games and digital experiences,"Artificial Intelligence, Music, Software, Video Games",—,"San Diego, California, United States, North America",www.plusmusic.ai,,"$2,450,000",Seed,1,Play Ventures,2
Pre Seed Round - Method Financial,Pre-Seed,Seed,"$2,500,000","Mar 1, 2022",Method Financial,Method Financial is a debt repayment API that facilitates payments for all types of debt.,"Banking, Financial Services, FinTech, Lending, Payments","Hispanic / Latine Founded, South Asian Founded, Southeast Asian Founded","Austin, Texas, United States, North America",methodfi.com,,"$18,500,000",Early Stage Venture,3,—,11
Seed Round - Aptos,Seed,Seed,"$200,000,000","Mar 15, 2022",Aptos,Aptos is a Web3 startup that builds a scalable layer 1 blockchain.,"Blockchain, FinTech, Information Technology",—,"Palo Alto, California, United States, North America",aptoslabs.com,,"$350,000,000",—,3,Andreessen Horowitz,17
Seed Round - Space Runners,Seed,Seed,"$10,000,000","Mar 7, 2022",Space Runners,Space Runners is the Metaverse Fashion brand focused on cross-chain fashion items that can be plugged into any metaverses and games.,"3D Technology, Blockchain, Consulting, Fashion, Sports","Women Founded, Women Led","Houston, Texas, United States, North America",spacerunners.com,,"$10,000,000",Seed,2,"Pantera Capital, Polychain",8
Pre Seed Round - Squint,Pre-Seed,Seed,"$2,500,000","Mar 1, 2022",Squint,Squint is a developer of manufacturing technology solutions that optimize factories' procedures and workforce.,"Augmented Reality, Manufacturing, Mobile Apps, Software",—,"San Jose, California, United States, North America",www.squint.ai/,,"$6,000,000",Seed,2,Menlo Ventures,1
Pre Seed Round - Payourse,Pre-Seed,Seed,"$500,000","Mar 1, 2022",Payourse,Payourse makes crypto more accessible to Africans by providing tools that helps businesses to build user-friendly crypto products.,"Blockchain, Cryptocurrency, Financial Services, FinTech, Software",—,"Wilmington, Delaware, United States, North America",payourse.com,,"$1,100,000",Seed,3,—,1
Pre Seed Round - itselectric,Pre-Seed,Seed,"$100,000","Feb 22, 2022",itselectric,itselectric is electric vehicle charging purpose-built for drivers who park their cars on city streets.,"Clean Energy, CleanTech, Electric Vehicle, Power Grid",—,"Brooklyn, New York, United States, North America",itselectric.us/,,"$2,300,000",Seed,2,gener8tor,1
Seed Round - Mycocycle,Seed,Seed,"$100,000","Feb 22, 2022",Mycocycle,Converting waste streams into value streams.,"Advanced Materials, Agriculture, Biotechnology, CleanTech, Recycling, Waste Management",Women Led,"Bolingbrook, Illinois, United States, North America",mycocycle.com/,,"$2,829,353",Seed,4,gener8tor,1
Pre Seed Round - Carbon Yield,Pre-Seed,Seed,"$100,000","Feb 22, 2022",Carbon Yield,Carbon Yield equips farmers with a support platform to help them migrate to restorative farming.,"Agriculture, AgTech, Farming",—,"Chicago, Illinois, United States, North America",carbon-yield.com,,"$200,000",Seed,2,gener8tor,1
Pre Seed Round - Blip Energy,Pre-Seed,Seed,"$100,000","Feb 22, 2022",Blip Energy,Blip is making energy equity accessible by building a new category of affordable energy storage to add millions of homes to the smart grid.,"Battery, Clean Energy, Electrical Distribution, Energy, Energy Management, Energy Storage, Power Grid, Renewable Energy, Solar, Supply Chain Management","Women Founded, Women Led","Chicago, Illinois, United States, North America",www.blipenergy.com/,,"$1,395,000",Seed,8,gener8tor,1
Seed Round - Kado,Seed,Seed,"$5,400,000","Mar 8, 2022",Kado,Payments Infrastructure for Web3,"Cryptocurrency, Financial Services, FinTech",—,"Boston, Massachusetts, United States, North America",www.kado.money/,,"$5,400,000",Seed,1,"Hashed, Race Capital",13
Seed Round - GO,Seed,Seed,"$4,472,000","Mar 15, 2022",GO,GO car subscription,Automotive,—,"Ardmore, Pennsylvania, United States, North America",www.drivego.com,,"$52,831,861",—,5,—,6
Seed Round - Dialect,Seed,Seed,"$4,100,000","Mar 2, 2022",Dialect,"Dialect enables a more engaging dapp experience with timely, targeted messages and notifications.",Blockchain,—,"San Francisco, California, United States, North America",www.dialect.to/,,"$4,100,000",Seed,2,"Jump Crypto, Multicoin Capital",10
Seed Round - Flexfrost,Seed,Seed,"$500,000","Feb 14, 2022",Flexfrost,Flexfrost's mission is to help audiences learn about proper nutrition with a wholistic approach to food.,—,—,"Bronx, New York, United States, North America",xfrost.com/,,"$500,000",Seed,1,—,1
Seed Round - Gaize,Seed,Seed,"$1,200,000","Mar 3, 2022",Gaize,Gaize is a real-time impairment detection platform for cannabis and other drugs.,"Artificial Intelligence, Hardware, Law Enforcement, Machine Learning, Public Safety, Software, Virtual Reality",—,"Missoula, Montana, United States, North America",www.gaize.ai/,,"$1,200,000",Seed,1,—,4
Seed Round - Credo,Seed,Seed,"$3,000,000","Mar 7, 2022",Credo,"Credo provides instant access to medical records for providers, payers and patients.","Health Care, Medical",—,"Denver, Colorado, United States, North America",www.credohealth.com,,"$3,000,000",Seed,1,FirstMile Ventures,5
Seed Round - MontyCloud,Seed,Seed,"$3,000,000","Feb 21, 2022",MontyCloud,MontyCloud helps customers manage and monitor their cloud services.,"Cloud Computing, Information Technology",—,"Seattle, Washington, United States, North America",www.montycloud.com/,,"$5,850,000",Seed,2,—,5
Seed Round - Legion Health,Seed,Seed,"$1,875,000","Mar 8, 2022",Legion Health,Legion Health is reimagining mental health.,"Child Care, Elder Care, Health Care, Home Health Care, Hospital, mHealth, Nursing and Residential Care, Personal Health, Psychology, Wellness",—,"Austin, Texas, United States, North America",legion.health,,"$2,000,000",Seed,3,—,19
Seed Round - Boopos,Seed,Seed,"$30,000,000","Feb 1, 2022",Boopos,Boopos operates a tech-enabled lending platform for acquiring small businesses.,"Finance, Financial Services, FinTech, Small and Medium Businesses",—,"Miami, Florida, United States, North America",www.boopos.com/,,"$94,000,000",Early Stage Venture,6,Fasanara Capital,9
Seed Round - YaizY,Seed,Seed,"$1,010,000","Feb 11, 2022",YaizY,"Live, synchronous digital careers and CTE courses for K-12 schools and districts","E-Learning, Education",—,"Wilmington, Delaware, United States, North America",yaizy.io/us,,"$4,580,000",Seed,5,—,3
Pre Seed Round - THUNDERBIRDS.ME INC,Pre-Seed,Seed,"$1,000,000","Feb 14, 2022",THUNDERBIRDS.ME INC,Augmented Reality Virtual Reality Mixed Reality Generative AI NLP LLM frameworks platform & services provider,"Artificial Intelligence, Augmented Reality, Blockchain, Cloud Computing, Computer Vision, Human Computer Interaction, Information Technology, Machine Learning, Natural Language Processing, Virtual Reality",—,"Orlando, Florida, United States, North America",www.thunderbirds.me/,,"$4,500,000",—,3,SHIGERU AG,1
Pre Seed Round - Here,Pre-Seed,Seed,"$1,500,000","Mar 2, 2022",Here,Here makes investing in vacation rentals as easy as buying stocks.,"FinTech, Hospitality, Mobile Apps, Real Estate, Travel Accommodations, Vacation Rental",—,"Miami, Florida, United States, North America",here.co,,"$5,000,000",Seed,3,Mucker Capital,11
Seed Round - Āut Labs (former SkillWallet),Seed,Seed,"$1,650,000","Feb 1, 2022",Āut Labs (former SkillWallet),Āut is a suite of DAO-native Tools to expand decentralized communities.,"Blockchain, Identity Management, Internet",—,"New Castle, Delaware, United States, North America",aut.id,,"$3,300,000",Seed,3,—,—
Seed Round - Gray Matter Analytics,Seed,Seed,"$3,000,000","Feb 23, 2022",Gray Matter Analytics,Healthcare data and analytics company transforming healthcare through data-driven insights through Analytics as a Service solutions.,"Analytics, Health Care, SaaS, Software","Black / African American Founded, Black / African American Led, Women Founded, Women Led","Chicago, Illinois, United States, North America",www.graymatteranalytics.com,,"$10,610,000",Seed,8,—,1
Seed Round - Global Pain Center,Seed,Seed,"$4,499,994","Mar 17, 2022",Global Pain Center,Global Pain Center provides chronic pain management services using an interdisciplinary approach.,"Health Care, Medical, Therapeutics",—,"Gladwyne, Pennsylvania, United States, North America",globalpaincenter.com,,"$4,499,994",Seed,1,7wire Ventures,1
Seed Round - 8B Education Investments,Seed,Seed,"$3,000,000","Feb 25, 2022",8B Education Investments,8B Education Investments is a financial service company.,"Advice, Education, Finance, Financial Services, FinTech","Women Founded, Women Led","New York, New York, United States, North America",www.8b.africa/,,"$3,000,000",Seed,1,—,5
Pre Seed Round - Barb,Pre-Seed,Seed,"$135,000","Mar 1, 2022",Barb,Hair Styling Products,E-Commerce,—,"San Francisco, California, United States, North America",www.thebarbshop.com,,"$135,000",Seed,1,XRC Ventures,1
Pre Seed Round - MOLG,Pre-Seed,Seed,"$20,000","Feb 15, 2022",MOLG,MOLG develops and provides digital and automation tools to manage services and processes of businesses from the manufacturing industry.,"Developer Platform, Industrial Automation, Information Technology, Innovation Management, Manufacturing",—,"Chantilly, Virginia, United States, North America",www.molg.ai/,,"$20,000",Seed,1,Techstars,1
Seed Round - enroll ml,Seed,Seed,"$1,500,000","Mar 6, 2022",enroll ml,SaaS/ ai platform that improves higher-ed enrollment yield and reduces the implicit bias of admissions counselors,"EdTech, Higher Education, SaaS",—,"Evanston, Illinois, United States, North America",www.enrollml.com,,"$1,500,000",Seed,1,Old Willow Partners,1
Seed Round - Unearthly Materials,Seed,Seed,"$17,000,000","Mar 17, 2022",Unearthly Materials,Unearthly Materials is a transformative materials company developing superconducting technology.,"Industrial Engineering, Industrial Manufacturing, Manufacturing, Nanotechnology",—,"Rochester, New York, United States, North America",www.unearthlymaterials.com,,"$17,000,000",Seed,1,—,1
Seed Round - Magic,Seed,Seed,"$5,125,000","Mar 1, 2022",Magic,Magic is a software development company building aligned AI to set it with human values.,"Artificial Intelligence, Information Technology, Machine Learning",—,"San Francisco, California, United States, North America",magic.dev,,"$28,125,000",Early Stage Venture,2,Nat Friedman,1
Seed Round - Turnt Gaming,Seed,Seed,"$4,300,000","Mar 3, 2022",Turnt Gaming,Turnt Gaming is a developer of interactive NFT-based entertainment products and media.,"Gaming, Media and Entertainment",—,"Seattle, Washington, United States, North America",www.turntgaming.com/,,"$4,300,000",Seed,1,Polygon Studios,4
Seed Round - Zaya Care,Seed,Seed,"$7,600,000","Mar 8, 2022",Zaya Care,Zaya is building the nation's largest full-spectrum maternity specialist network that takes insurance.,"Health Care, Health Insurance, Information Technology, Wellness","Women Founded, Women Led","New York, New York, United States, North America",www.zayacare.com/,,"$7,600,000",Seed,2,Inspired Capital Partners,6
Pre Seed Round - BlockSurvey,Pre-Seed,Seed,"$500,000","Feb 7, 2022",BlockSurvey,Web 3 forms & surveys,"Blockchain, Database, Market Research, Privacy, Security, Software",—,"Middletown, Delaware, United States, North America",blocksurvey.io,,"$500,000",Seed,2,DeSpread,9
Seed Round - Enter,Seed,Seed,"$5,700,000","Mar 8, 2022",Enter,Enter gets doctors paid MORE than anyone from insurance and patients.,"Electronic Health Record (EHR), Finance, Financial Services, FinTech, Health Care, Health Insurance, Medical, Payments",—,"San Francisco, California, United States, North America",www.enter.health,,"$11,325,000",Seed,6,"500 Global, Menlo Ventures, Quiet Capital, Savantus Ventures, SpringRock Ventures",8
Pre Seed Round - OatFi,Pre-Seed,Seed,"$3,250,000","Feb 1, 2022",OatFi,OatFi provides the end-to-end infrastructure for B2B payment platforms to launch embedded working capital tools.,"Finance, Financial Services, FinTech, Lending",—,"New York, New York, United States, North America",www.oatfinancial.com,,"$61,250,000",Seed,3,Portage Ventures,5
Seed Round - Perfumeo,Seed,Seed,"$17,000","Feb 5, 2022",Perfumeo,"Perfumeo® - the world's first intelligent home diffuser that tailors scent based on mood, employing cutting-edge, patented AI.","Artificial Intelligence, Information and Communications Technology (ICT), Internet of Things, Smart Home",—,"Cupertino, California, United States, North America",perfumeo-ai.com,,"$100,000",Seed,4,Enzo Didi,1
Seed Round - Fullreach,Seed,Seed,"€500,000","Mar 1, 2022",Fullreach,Fullreach creates disruptive commission-based solutions.,"Advertising Platforms, Insurance",—,"Oakland, California, United States, North America",fullreach.io,,"€750,000",M&A,2,—,1
Pre Seed Round - ThinkOrbital,Pre-Seed,Seed,"$1,885,000","Mar 1, 2022",ThinkOrbital,Construction technologies for space applications,"Aerospace, Manufacturing, Robotics, Space Travel",—,"Denver, Colorado, United States, North America",www.thinkorbital.com,,"$2,395,000",Seed,4,—,2
Seed Round - Function Health,Seed,Seed,"$3,000,000","Mar 15, 2022",Function Health,100 Healthy Years • Your new routine of 120+ advanced lab tests explained by the world's top doctors,Health Care,—,"Los Angeles, California, United States, North America",www.functionhealth.com/,,"$3,000,000",Seed,1,—,1
Pre Seed Round - 123 Baby Box,Pre-Seed,Seed,"$1,000,000","Mar 1, 2022",123 Baby Box,123 Baby Box is an online platform offering mothers brain developmental products for children by personalized subscription box for babies.,—,—,"Irvine, California, United States, North America",123babybox.com,,"$2,200,000",Seed,3,—,1
Pre Seed Round - Payday Fantasy,Pre-Seed,Seed,"$200,000","Mar 8, 2022",Payday Fantasy,Payday Fantasy is a mobile betting platform that allows its users to bet on their favorite teams in sports.,"Fantasy Sports, Mobile, Mobile Apps, Sports",—,"Los Angeles, California, United States, North America",paydayfantasy.com/,,"$200,000",Seed,1,Antler,1
Seed Round - TC Investment Partners,Seed,Seed,"$304,500","Mar 4, 2022",TC Investment Partners,TC Investment Partners is an institutional alternative investment manager that focuses on creating long-term value for its investors.,"Finance, Financial Services, Impact Investing",—,"New York, New York, United States, North America",tcinvestmentpartners.com/,,"$304,500",Seed,1,—,—
Pre Seed Round - ArchSlate,Pre-Seed,Seed,"$700,000","Mar 3, 2022",ArchSlate,Archslate is an AI powered people management and productivity platform for the building industry.,"Architecture, Construction, Enterprise Software","Women Founded, Women Led","San Francisco, California, United States, North America",www.archslate.com/,,"$800,000",Seed,4,"SeedFunders, TampaBay.Ventures",3
Pre Seed Round - Science On Call,Pre-Seed,Seed,"$1,080,000","Feb 14, 2022",Science On Call,"Science On Call is the subscription-based tech support platform for restaurants. Help with POS, internet, Wi-Fi, online ordering & more.","Information Services, Information Technology, Internet, Point of Sale, Restaurants, Software","East Asian Founded, East Asian Led, Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led","Chicago, Illinois, United States, North America",scienceoncall.com,,"$4,375,000",Seed,9,—,6
Seed Round - Myplace,Seed,Seed,"$5,800,000","Mar 3, 2022",Myplace,Myplace is a social network that allows friends to share their homes.,"Internet, Internet of Things",—,"San Francisco, California, United States, North America",myplace.co/,,"$5,800,000",Seed,2,Freestyle Capital,5
